candidate_id,generation,status,overall_score,title,operators,lenses
offspring-a26f9609d696e550,3,shortlisted,0.7936,Improve Base hinge knuckles via reframe goal · repurpose feature · parameter shift · substitute process,"reframe_goal,repurpose_feature,parameter_shift,substitute_process","shape,connectivity_among_parts"
offspring-64cd85b6a6d17bb1,2,shortlisted,0.7879,Crossover: Improve Base hinge knuckles via reframe goal × Develop Base shell via parameter shift · make reversible,"reframe_goal,parameter_shift,make_reversible","shape,connectivity_among_parts,reversibility"
offspring-a66606011241c785,3,shortlisted,0.7646,Modify Base hinge knuckles via adjacent association · crossover · reframe goal · repurpose feature,"adjacent_association,crossover,reframe_goal,repurpose_feature",manufacturability
offspring-691e066a19a0c108,2,shortlisted,0.7619,Improve Base hinge knuckles via reframe goal · repurpose feature · parameter shift,"reframe_goal,repurpose_feature,parameter_shift","shape,connectivity_among_parts"
offspring-c20d83f8f39b5475,3,shortlisted,0.7458,Change Auxiliary lid bosses via substitute process · modularize · make reversible · add observability,"substitute_process,modularize,make_reversible,add_observability","force_characteristics,durability_characteristics"
offspring-5a77aec29630b4a5,1,proposed,0.7441,Change Base hinge knuckles via modularize · make reversible,"modularize,make_reversible",durability_characteristics
crossover-c3ccccaae506a9d4,1,proposed,0.7422,Crossover: Improve Base hinge knuckles via reframe goal × Develop Base shell via parameter shift,"reframe_goal,parameter_shift","shape,connectivity_among_parts,reversibility"
offspring-7ee143cf086db9a0,1,proposed,0.7396,Change Auxiliary lid bosses via substitute process · modularize,"substitute_process,modularize","force_characteristics,durability_characteristics"
candidate-5732fa43e45c6e62,0,proposed,0.7374,Change Auxiliary lid bosses via substitute process,substitute_process,"force_characteristics,durability_characteristics"
offspring-72532d1ccf88b381,1,proposed,0.7306,Improve Base hinge knuckles via reframe goal · repurpose feature,"reframe_goal,repurpose_feature","shape,connectivity_among_parts"
offspring-7e45cfad6dc09b8b,2,proposed,0.7266,Change Auxiliary lid bosses via substitute process · modularize · make reversible,"substitute_process,modularize,make_reversible","force_characteristics,durability_characteristics"
offspring-76acb66bd983fb2e,3,proposed,0.7195,Change Base hinge knuckles via modularize · make reversible · add observability · adjacent association,"modularize,make_reversible,add_observability,adjacent_association",durability_characteristics
offspring-8de200439a4fa52f,3,proposed,0.7148,Change Base shell via make reversible · add observability · adjacent association · crossover,"make_reversible,add_observability,adjacent_association,crossover",human_use
offspring-28968194db94aff5,2,proposed,0.7146,Modify Auxiliary lid bosses via add observability · adjacent association · crossover,"add_observability,adjacent_association,crossover","aesthetics,manufacturability"
offspring-9eb92ba80f8b0a0b,2,proposed,0.7137,Modify Base hinge knuckles via adjacent association · crossover · reframe goal,"adjacent_association,crossover,reframe_goal",manufacturability
offspring-e0e50d7603626e4c,2,proposed,0.7119,Develop Base shell via parameter shift · substitute process · modularize,"parameter_shift,substitute_process,modularize",reversibility
offspring-9b6d3e9d3fd40d13,1,proposed,0.7108,Develop Base hinge knuckles via repurpose feature · parameter shift,"repurpose_feature,parameter_shift",testability
candidate-1174deb0f7d0bedb,0,proposed,0.709,Modify Auxiliary lid bosses via add observability,add_observability,"aesthetics,manufacturability"
offspring-06ae65ad66dbd8bd,3,proposed,0.709,Modify Base shell via crossover · reframe goal · repurpose feature · parameter shift,"crossover,reframe_goal,repurpose_feature,parameter_shift",assemblability
offspring-9954e8c974a05533,2,proposed,0.7014,Improve rotate_lid via parameter shift · substitute process · modularize,"parameter_shift,substitute_process,modularize",spatial_relations_among_parts
offspring-31dd9c720b05ac6e,2,proposed,0.7012,Improve Lid hinge knuckles via repurpose feature · parameter shift · substitute process,"repurpose_feature,parameter_shift,substitute_process",connectivity_among_parts
offspring-24798159fb65d828,3,proposed,0.6997,Modify Auxiliary lid bosses via add observability · adjacent association · crossover · reframe goal,"add_observability,adjacent_association,crossover,reframe_goal","aesthetics,manufacturability"
candidate-c325edd26fb45a4c,0,proposed,0.6938,Improve Lid hinge knuckles via repurpose feature,repurpose_feature,connectivity_among_parts
candidate-69e46addaddb3155,0,proposed,0.6857,Improve Base hinge knuckles via reframe goal,reframe_goal,"shape,connectivity_among_parts"
candidate-f1a8303742ea3995,0,proposed,0.6811,Improve rotate_lid via parameter shift,parameter_shift,spatial_relations_among_parts
